시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 구로구 개봉동,489,489,0,개봉동현대아이파크,84.98,202308,9,"86,000",27,2006,개봉로2길 133-15,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,489,489,0,개봉동현대아이파크,117.74,202308,14,"83,800",1,2006,개봉로2길 133-15,,20230926,직거래,-
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,119.98,202308,15,"110,000",13,2014,남부순환로 775,20230907, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,119.98,202308,15,"110,000",13,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.94,202308,19,"86,300",10,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.94,202308,26,"90,000",20,2014,남부순환로 775,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,492,492,0,개봉푸르지오,84.83,202308,26,"82,000",5,2014,남부순환로 775,, ,중개거래,"서울 구로구, 서울 서대문구"
서울특별시 구로구 개봉동,60-82,60,82,거성푸르뫼2,84.96,202308,19,"55,000",16,1994,고척로 82,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,Dec-70,70,12,동도센트리움(70-12),116.276,202308,14,"48,000",15,2002,고척로22길 84,,20230814,직거래,-
서울특별시 구로구 개봉동,472,472,0,두산,111.69,202308,15,"65,700",13,1997,남부순환로95길 88,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,8,"63,000",19,1999,경인로 382,,20230828,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,11,"63,000",23,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,12,"68,000",9,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,15,"67,700",18,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,84.57,202308,19,"79,000",22,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,21,"66,500",6,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202308,25,"64,000",7,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,84.96,202308,14,"58,000",12,2000,개봉로3길 87,,20230824,직거래,-
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202308,16,"47,600",4,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,114.99,202308,12,"95,000",8,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202308,19,"64,800",9,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202308,19,"80,000",22,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,114.99,202308,23,"97,500",21,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202308,26,"59,300",1,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,59.49,202308,4,"60,500",26,2001,개봉로20길 158,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,59.49,202308,12,"61,000",22,2001,개봉로20길 158,,20230914,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,84.915,202308,13,"74,000",4,2001,개봉로20길 158,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,84.915,202308,15,"79,000",14,2001,개봉로20길 158,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,59.49,202308,24,"60,000",5,2001,개봉로20길 158,, ,중개거래,서울 구로구
